Kingdom,Phylum,Class,Order,Family,Genus,sample1,sample26,sample25,sample2,sample24,sample6,sample27,sample5,sample4,sample23,sample3,sample22,sample10,sample7,sample20,sample8,sample9,sample11,sample19,sample18,sample15,sample14,sample21,sample13,sample16,sample12,sample17
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,BD1-7_clade,0.901516919025009,2.8957052619275068,1.9223501569086325,2.3271713364135245,1.8872516535267927,2.408525312953784,2.3905828172953845,2.181674785108685,2.609965402271648,2.2643851450743657,2.3544515007295628,2.1814279283059834,2.423752010045191,2.2109593819803797,2.274479302338409,2.0052295865670633,2.3010660868897848,2.8870843704400535,2.1552583729011463,2.1668315292758065,2.2893686855723336,2.400104108240381,1.9986539556652954,2.3371017395112865,1.6399459982868088,2.3241532456152134,1.8005109350283206
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Genus of Actinomycetaceae,2.825535214217445,2.3646301648977506,2.244201124975663,1.6183027445290765,2.441715025775628,2.0597838091128002,2.0833114543091202,2.181674785108685,2.0959615554934716,2.1329292564504385,1.9414742419073718,2.2220008410995966,1.9428431063846041,1.937636217820022,2.381010479738288,2.034330447154656,2.389941724809045,2.051247517582662,2.2402766480115535,2.461378250965362,1.6347282117342656,1.7260548228197825,2.090290653202171,1.7023897126630567,2.234084962928115,1.5240266075600513,2.121073113189185
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,2.7767156926021803,1.3006635968463565,1.5510539444157176,2.1801607296036005,1.2822070961802492,1.7461482431700182,1.3356407735655313,2.1771770081729667,2.092179287392426,1.1085669303391343,1.8724534832454047,1.5479033802122144,2.004038556828524,1.8620163825231932,1.4875294609398617,2.0660875079170467,2.008290262433011,1.9821461507379032,1.262293978566868,1.431835654467391,1.528543577769434,1.3926840374632041,1.3498920605026568,1.4426227303037722,1.09703570240882,1.8987904769815707,1.2423570811354772
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,1.8785770621242817,2.3108144744004058,2.505372071879112,2.5573161644772657,2.5910357039719045,2.2286514130822592,2.588236630812516,2.307981667170205,1.7942027638570313,2.7584756390658507,2.309319142512214,2.4956651799169904,2.6250069491123993,2.3213015260096475,2.438897566536742,2.110248488654598,1.7654755376897917,2.612874828566624,2.0281793575107105,2.26586070557168,2.2924432564803823,2.415311613441088,2.583944429478054,2.326944699094324,2.1538601171990184,2.636882957591789,2.182441510462117
Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,Family of IMCC26256,Genus of IMCC26256,1.2743275892828336,1.2815027678823512,1.5510539444157176,1.32000071753059,1.7126391693266854,1.2963375836804163,1.1009278672191165,1.408355513071661,1.3360493104218278,2.0741627525991753,0.7730042174936891,2.267344750306852,1.3599005400765645,1.4290480977822906,2.731497286606677,1.6552687938861936,1.3375791449759662,1.7470260107983302,2.328970901254065,2.4787357151232827,1.7780274416380477,1.4452331057427248,2.1614363149871823,1.7212743308616218,1.6985813532120861,1.5467857875790845,2.171038977857826
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,2.721330510660513,1.4253992866027172,1.2451184316545865,2.202532358045209,1.688502115347923,2.0232284360889157,1.114755282856434,2.0318769632600597,2.3423208836553506,1.6374336382029417,1.950327296958231,1.4736975766109959,2.4375893624232123,2.0967705008382023,1.8544041251765941,2.3193870846320435,2.624961927957205,2.3139622250871072,1.8203864887468404,1.907613648029976,1.9775314853332286,2.107160137279924,1.4936554687202426,2.400721032569237,1.5449947211686785,2.4178730086163407,1.8411995235318566
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Family of Chitinophagales,Genus of Chitinophagales,1.9426195428878046,2.377643437938902,2.4657930855984542,2.691426630258535,2.441715025775628,1.676220997230792,2.7178978197216965,1.9159378686929607,1.4211135913468151,2.6778021444492595,1.5814505338073106,2.3435304214353723,1.0500291104694455,1.4417163931348789,2.1052932243481397,1.5446131973739101,1.2494907436658629,1.1326759075621187,1.7899901427309404,1.651057039658622,1.7625031082927611,1.6821511396208217,2.20756887587466,1.331628911074981,1.6549302970370157,1.3483139359156207,1.9362185738733189
Bacteria,Chloroflexi,Anaerolineae,1-20,Family of 1-20,Genus of 1-20,1.714678524214265,0.9918287335083793,1.3640703745159515,2.360779013250368,1.3529944739705435,2.490545831490582,1.894526857561897,2.6636683949757867,2.2300156955817325,1.1563211704950458,2.3215549967156663,0.7721428589235089,1.027768019633796,2.300185684243215,0.7419752005808231,1.9482720673858545,1.4608268309106522,1.12065386242541,0.9590681214850472,1.752588502623892,1.9168408500224992,1.6999445774461055,0.6517616031082296,0.8867951611280569,1.6474662135504756,0.5523712861874204,1.4212827009468327
Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Candidatus_Competibacter,-2.9579354608323936,2.6329844402262186,1.6540861703139527,-1.0771797709341566,1.6035587419293478,0.7619409507964852,2.2813044434540153,-0.5279291275843283,0.5752177245443209,2.106234681002368,0.4360294581610855,2.3977822662578756,0.14761955872891352,0.9366503284328314,1.9015349361366969,0.33374725493957147,0.9944748292630612,1.2975554293612657,1.8540301653204523,1.6842468737336596,1.8182846739407346,1.7217501844092524,1.7729635259511696,1.575521355585006,1.489531842075909,0.9790965357915482,1.159166691452941
Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,-2.9579354608323936,-3.0328175275126767,-3.308758459945955,-3.2113683774357185,-3.3498482217480277,0.38777342265277515,-3.370184596001578,-0.14134869690602958,-0.9267582737169731,0.1633350717125115,-1.4058310988453444,0.6835952152572897,1.6698475182436718,-0.6368705069228406,0.18505313754328512,0.2519444774359476,0.37433513325108425,2.5768779604063416,0.4736145066172286,-1.1505049376305196,0.025264085428415406,0.27967562959037284,0.14398184002184067,0.6302925211692418,-0.5400336086829576,0.5056780758350037,-0.923264842873551
