OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27
ASV1004	0.000181004	9.05018E-05	0	0.000135753	9.05018E-05	0.000181004	0.000135753	0.00049776	0.000543011	0.000362007	0.000362007	0.000226255	0.000316756	0.000452509	0.000362007	0.000543011	0.000407258	0.000407258	0.000316756	0.000316756	0.000316756	0.000181004	0.000271505	0.000271505	0.000181004	0.000181004	0
ASV1032	0.000181004	0.000362007	0.000226255	0.000226255	0.000135753	0.000271505	0.000452509	0.000452509	0.000362007	0.00049776	0.000543011	0.000633513	0.000271505	0.000452509	0.000316756	0.000181004	0	0.000226255	0.000181004	0.000181004	0.000271505	0.000316756	0.000135753	0	0.000135753	0	0
ASV1080	0.000181004	4.52509E-05	0.000135753	0.000362007	0.000226255	0.000135753	0.000226255	0.000181004	0.000181004	0	0.000543011	0.000271505	0.000316756	0.000452509	0.000226255	0.000271505	0	0.000271505	0	0.000362007	0.000271505	0.000316756	0	0.000226255	0.000135753	0	0.000316756
ASV1171	0.000181004	0	0.000633513	0.000362007	0.000226255	0.000316756	0.000362007	9.05018E-05	0.000135753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000271505	0.000543011	0.000950269	0.001357527
ASV1363	0.000181004	0.000226255	0.000181004	0.000271505	0.000181004	0.000226255	9.05018E-05	0	0	0.000181004	0	0.000362007	0.000181004	0	0.000181004	0.000226255	0.000181004	0.000362007	0.000181004	0.000181004	0.000181004	0.000271505	0	0	0	0.000271505	0
ASV1419	0.000181004	0.000181004	0.000181004	0.000316756	9.05018E-05	9.05018E-05	9.05018E-05	9.05018E-05	0	0.000135753	0.000226255	0.000181004	4.52509E-05	0	0.000135753	4.52509E-05	0.000135753	0.000135753	9.05018E-05	4.52509E-05	0.000271505	0.000316756	0.000135753	0.000181004	4.52509E-05	0.000181004	0.000316756
ASV1513	0.000181004	0.000543011	0.000543011	0.000407258	0.000181004	0.000181004	0.000407258	9.05018E-05	0.000135753	4.52509E-05	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52509E-05
ASV1571	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181004	0	0	0.000181004	0	0	0	0	0	0	0	0
ASV1708	0.000181004	0.000271505	0	0	9.05018E-05	0	0.000226255	0	0	0	0	0	9.05018E-05	0	0	4.52509E-05	0.000135753	9.05018E-05	0.000181004	0.000135753	0.000135753	9.05018E-05	0	0.000271505	0.000181004	0.000226255	9.05018E-05
ASV1748	0.000181004	0	0.000633513	0.000543011	0	0	0	4.52509E-05	0	0	0	0	0	0	0	4.52509E-05	0.000362007	0.000452509	0.000181004	0	0	0	0	0	0	0	0
ASV1763	0.000181004	0.000135753	0.000316756	0.000316756	0.000135753	0	0.000135753	0	0.000226255	0	0	4.52509E-05	0	0	0	0	9.05018E-05	0	0	0	0.000181004	0	0	0.000135753	4.52509E-05	0.000271505	0.000226255
ASV1940	0.000181004	0.000226255	0.000135753	0	9.05018E-05	9.05018E-05	0.000135753	0.000135753	0.000135753	0	0	0.000135753	0	0	0	0	9.05018E-05	9.05018E-05	0	0	4.52509E-05	0	0.000271505	0.000181004	4.52509E-05	9.05018E-05	0
ASV2068	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000316756	0	0.000362007	0	0.000407258	0.000271505	0	0
ASV2117	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52509E-05	0	0	0.000135753	0.000226255
ASV2153	0.000181004	0	0.000135753	0	0	0	0	0	0	0	0.000181004	0	0	0	0	0	0.000181004	0.000226255	0	0	0.000181004	0	0	9.05018E-05	0	0.000135753	0
ASV2236	0.000181004	0.000362007	0.000316756	0	0	0	0	0	0	0	0	0.000181004	0	0.000226255	0	0	0	0	0	0	0.000181004	0	0	0	0	0	0
ASV2245	0.000181004	0	0	0.000226255	0	0	0.000226255	0	0.000135753	0	0	0.000181004	0	0	0.000181004	0	0	0	0.000135753	0.000135753	0	0	0	0	0	0	0
